OBJECTID,Route,Leg,FullName,Direction,Length,City,Comment,Type,RouteID,EditDate,GlobalID
348,61,,Preston,Eastbound,12.93706656,Kitchener/Cambridge,"Route changes Sep 2, 2019",30,283,2024/09/06 14:46:15+00,{B6C6D9FC-B50B-46F7-B601-BB9724099683}
350,36,,Thomas Slee,Westbound,6.06650635,Kitchener,"New route Sep 2, 2019",30,280,2023/08/28 15:12:58+00,{49E7C504-E083-4B87-9C7A-09F7DBA7433E}
351,61,,Preston,Westbound,11.31371134,Kitchener/Cambridge,"Route changed Sep 2, 2019",30,282,2024/09/06 14:46:11+00,{F704E376-09EE-43A1-B68B-AC093E12DBE5}
353,36,,Thomas Slee,Eastbound,6.20622383,Kitchener,"New route Sep 2, 2019",30,281,2023/08/28 15:12:58+00,{0E6FB39A-A647-4E09-A8EC-DA1B44D35362}
354,206,iXpress,iXpress Coronation,Southbound,19063.21982958,Kitchener/Cambridge,Freeport bridge detour routing,20,286,2025/08/15 15:29:54+00,{E0ABB868-C0D9-45A0-8E2D-C5CF5D3333AE}
355,206,iXpress,iXpress Coronation,Northbound,20.60134639,Kitchener/Cambridge,Freeport bridge detour routing,20,287,2025/08/15 15:29:58+00,{343C9A0D-1E95-4472-9822-C8352CE98BD0}
357,57,,Blair,Southbound,12.21255803,Kitchener/Cambridge,"New route Sep 2, 2019",30,291,2023/08/28 15:12:58+00,{B2690D7C-8F42-422E-B05C-AE4CF7556421}
358,67,,Eagle-Pinebush,Westbound,16.38675965,Kitchener/Cambridge,"revised route Sep 2, 2019",30,297,2023/08/28 15:12:58+00,{463BDE84-C0BB-49C9-8604-A4AB572F7801}
359,57,,Blair,Northbound,11.54883649,Kitchener/Cambridge,"New route Sep 2, 2019",30,290,2023/08/28 15:12:58+00,{017DC538-30D2-47D2-B98A-B2B267AA40CA}
361,67,,Eagle-Pinebush,Eastbound,16.85625249,Kitchener/Cambridge,"revised route Sep 2, 2019",30,296,2023/08/28 15:12:58+00,{B3FAE955-B7CE-4C61-ACFA-D5DF552DD28A}
362,55,,Grand Ridge,Clockwise,9.82658549,Cambridge,"Route changed Sep 2, 2019",30,289,2023/08/28 15:12:58+00,{DE0D6B29-BA27-440F-93DB-24005535FCAF}
363,55,,Grand Ridge,Counterclockwise,10.34451578,Cambridge,"Route changed Sep 2, 2019",30,288,2023/08/28 15:12:58+00,{4C577103-4760-417C-9DAF-484AFC4217B0}
367,20,,Victoria-Frederick,Westbound,32.83997559,Kitchener,"revised route Jun 24, 2019",15,907,2023/08/28 15:12:58+00,{B1FA5B3C-89BB-4019-957B-809A07FA7C99}
368,33,,Huron,Westbound,31.06468495,Kitchener,,30,922,2023/08/28 15:12:58+00,{6C1DC271-D254-4DD0-8FE6-2B797A6BE309}
369,26,,Trillium,Loop,12.12797657,Kitchener,"revised route Jun 24, 2019",30,913,2023/08/28 15:12:58+00,{17AD068C-4C30-445C-916E-822ED28EE1E0}
370,28,,Franklin North,Southbound,5.64918312,Kitchener,"new route Jun 24, 2019",40,916,2023/08/28 15:12:58+00,{0F72BEAF-C044-4688-9C7A-7B3E24FEB487}
371,23,,Idlewood,Southbound,19.3835279,Kitchener,,30,955,2023/08/28 15:12:58+00,{B9627524-6B3D-42C5-9643-CBF1787CA10A}
372,201,iXpress,Fischer-Hallman,Southbound,54.41317759,Kitchener/Waterloo,,10,969,2023/08/28 15:12:58+00,{CD7176EA-05B5-4CDB-930C-318168F96596}
373,16,,Strasburg-Belmont,Peak Trippers,11.28756469,Kitchener/Waterloo,"revised route Jun 24, 2019",30,904,2023/08/28 15:12:58+00,{3B5DF540-EB71-4162-80D1-DCA5677C9F29}
374,12,,Westmount,Northbound,16.47411014,Kitchener/Waterloo,"revised route Jun 24, 2019",15,898,2023/08/28 15:12:58+00,{C3C532A6-6813-4550-BC81-002E4379EA24}
375,12,,Westmount,Southbound,16.47411014,Kitchener/Waterloo,"revised route Jun 24, 2019",15,899,2023/08/28 15:12:58+00,{B297C665-811B-4997-A8A0-AFF60529EE4C}
376,31,,Columbia,Eastbound,16.64647215,Waterloo,"revised route Jun 24, 2019",30,921,2023/08/28 15:12:58+00,{A567C126-B105-447B-A8F9-D8B76C75D171}
377,76,busPLUS,Doon Mills (to CCOL),Southbound,6.51096113,Kitchener,"revised route Sep 2, 2019",30,937,2023/08/28 15:12:58+00,{19E8A17A-600E-4A4D-BA14-B913CDC06942}
379,10,A,Pioneer (via Old Carriage),Southbound,8.07717939,Kitchener,,15,894,2023/08/28 15:12:58+00,{68EEEE5F-CFDD-492C-A40E-193CC866BC4E}
380,301,ION,ION LRT,Northbound,32.49587665,Kitchener/Waterloo,"New route Jun 21, 2019",10,947,2023/08/28 15:12:58+00,{249B8880-607B-4388-8E27-255BA9E675BB}
381,29,,Keats-University,Northbound,17.18082121,Waterloo,"revised route Jun 24, 2019",30,917,2023/08/28 15:12:58+00,{4DD7A717-2B20-4D82-87F8-B33E7B4AF85F}
383,21,,Elmira,Southbound,14.86364841,Waterloo/Woolwich,,30,909,2023/08/28 15:12:58+00,{DCC7BAE4-A025-4983-BFAD-C42F3C920483}
385,6,,Bridge-Courtland,Northbound,18.72663319,Kitchener/Waterloo,"revised route Jun 24, 2019",30,887,2023/08/28 15:12:58+00,{487EDBF3-54D8-406A-B8E1-6045C136FA69}
387,22,,Laurentian West,Eastbound,8.94619504,Kitchener,"revised route Jun 24, 2019",30,910,2023/08/28 15:12:58+00,{5C643E47-C191-433C-B911-61FFF7C272B7}
388,302,ION,ION BUS,Northbound,41.60888937,Kitchener/Cambridge,,10,948,2023/08/28 15:12:58+00,{1E9831D4-7A1B-4ADC-8F28-0B110D5D79F7}
389,204,iXpress,Highland-Victoria,Westbound,16.50307139,Kitchener,,15,945,2023/08/28 15:12:58+00,{DC7A0703-F7C2-4285-ADD2-520CDA69C471}
390,77,busPLUS,Wilmot,Westbound,40.47720612,Kitchener/Wilmot,,30,939,2023/08/28 15:12:58+00,{A0D00294-B0DE-47E4-8016-345BFFDA69CC}
