X,Y,OBJECTID,StopID,EasyGo,Street,CrossStreet,Easting,Northing,Longitude,Latitude,Municipality,CreateDate,EditDate,Status,GlobalID
536787.6634,4812134.214,3849,12213,3153,Keats Way,McDougall Rd,536787.66341693,4812134.21399747,-80.54524804,43.46121303,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:35:50+00,Active,{B09A4E02-9050-4DAA-A420-8B122A11A585}
556113.7868,4803370.8278,3851,10384,1362,Elgin St N,Ferguson Ave,556113.7868,4803370.82775939,-80.30726198,43.38110998,Cambridge,2014/04/04 18:40:35+00,2019/01/08 14:29:44+00,Active,{D5EEDCA3-D9D8-4DCF-A7A4-6C5F1E0A0529}
533871.8257,4812234.6436,3855,12522,3455,Erbsville Rd,Columbia St W,533871.82567787,4812234.64355532,-80.58128504,43.46225497,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:36:59+00,Active,{45AC160E-A27B-4792-9279-A2905AB7CB41}
541870.4843,4808928.3265,3857,12114,3055,Hoffman St,Meinzinger Ave,541870.48429946,4808928.32654658,-80.48266501,43.43208004,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:35:30+00,Active,{04B52264-6070-4806-A1C2-773E08A85ED2}
544691.9236,4810185.3207,3858,11683,2628,Franklin St N,Dalewood Dr,544691.92361302,4810185.32068906,-80.44770304,43.44323498,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:34:10+00,Active,{40CE8388-FC6B-47A4-B50B-4E54283596E1}
539488.433,4810152.8373,3859,11751,2696,Belmont Ave W,Victoria St S,539488.43304506,4810152.83730096,-80.512007,43.44323498,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:34:23+00,Active,{23CCD5D2-7B57-4700-B0FC-F7DBC27CC003}
533143.8518,4813398.9404,3860,13255,4082,Laurelwood Dr,Birchmount Dr,533143.455,4813398.94,-80.590218,43.472771,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:39:38+00,Active,{9F9D122E-0541-4F0A-83E5-1CCD07092D64}
556298.3813,4805376.697,3861,10518,1490,Franklin Blvd,Bishop St,556298.3813,4805376.783,-80.30477,43.399157,Cambridge,2014/04/04 18:40:35+00,2019/01/08 14:30:10+00,Active,{487FED15-1D57-4511-9682-9A756F60D290}
544574.2966,4807841.3578,3862,11790,2734,Traynor Ave,Balfour Cres,544574.29664414,4807841.35779593,-80.44934798,43.42213697,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:34:30+00,Active,{88250B58-3460-4489-B445-19A9E6BD8110}
557002.4534,4804319.2554,3863,10362,1345,Sagniaw Pky,Cowan Blvd,557002.4534,4804319.25540446,-80.29619319,43.38958246,Cambridge,2014/04/04 18:40:35+00,2023/10/02 15:12:38+00,Active,{C5CABB2C-1DEF-465D-A77E-1C0BA38C994A}
553824.9218,4798959.4557,3864,11302,2254,Grand Ridge Dr,Mark Cres,553824.92180519,4798959.45568142,-80.33595001,43.34155803,Cambridge,2014/04/04 18:40:35+00,2019/01/08 14:32:53+00,Active,{E24131FA-4997-4EFA-B535-933278D9F114}
542306.9121,4811028.779,3868,11413,2361,Krug St,Samuel St,542306.91210052,4811028.77900556,-80.47711004,43.45096803,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:33:14+00,Active,{F2590856-EEE5-4E43-8B45-5C1018A459C3}
537416.1039,4814854.4503,3870,10179,1174,Hazel St,Blythwood Dr,537416.1039,4814854.45030123,-80.53729296,43.48567501,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:29:07+00,Active,{E08A2552-1A05-48E8-A605-EE69BCE46789}
